date,mean_interest,category
2025-11-02,44.333333333333336,stimulant
2025-11-09,44.333333333333336,stimulant
2025-11-16,51.333333333333336,stimulant
2025-11-23,39.333333333333336,stimulant
2025-11-30,55.333333333333336,stimulant
2025-12-07,46.0,stimulant
2025-12-14,36.0,stimulant
2025-12-21,39.666666666666664,stimulant
2025-12-28,37.0,stimulant
2026-01-04,53.333333333333336,stimulant
2026-01-11,40.666666666666664,stimulant
2026-01-18,37.333333333333336,stimulant
2026-01-25,42.333333333333336,stimulant
2026-02-01,48.0,stimulant
2026-02-08,38.333333333333336,stimulant
2026-02-15,53.333333333333336,stimulant
2026-02-22,50.666666666666664,stimulant
2026-03-01,48.333333333333336,stimulant
2026-03-08,46.0,stimulant
2026-03-15,36.333333333333336,stimulant
2026-03-22,38.666666666666664,stimulant
2026-03-29,40.0,stimulant
2025-03-30,29.666666666666668,alcohol
2025-04-06,29.333333333333332,alcohol
2025-04-13,31.333333333333332,alcohol
2025-04-20,30.333333333333332,alcohol
2025-04-27,29.333333333333332,alcohol
2025-05-04,27.333333333333332,alcohol
2025-05-11,27.333333333333332,alcohol
2025-05-18,26.333333333333332,alcohol
2025-05-25,30.333333333333332,alcohol
2025-06-01,28.333333333333332,alcohol
2025-06-08,28.333333333333332,alcohol
2025-06-15,28.0,alcohol
2025-06-22,28.333333333333332,alcohol
2025-06-29,26.333333333333332,alcohol
2025-07-06,33.666666666666664,alcohol
2025-07-13,33.0,alcohol
2025-07-20,33.666666666666664,alcohol
2025-07-27,33.666666666666664,alcohol
2025-08-03,33.333333333333336,alcohol
2025-08-10,30.333333333333332,alcohol
2025-08-17,30.0,alcohol
2025-08-24,29.0,alcohol
2025-08-31,30.333333333333332,alcohol
2025-09-07,25.666666666666668,alcohol
2025-09-14,26.666666666666668,alcohol
2025-09-21,30.666666666666668,alcohol
2025-09-28,29.666666666666668,alcohol
2025-10-05,29.333333333333332,alcohol
2025-10-12,29.666666666666668,alcohol
2025-10-19,31.666666666666668,alcohol
2025-10-26,30.0,alcohol
